"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.038779596E0,-2.581909895E-1,-1.543257236E-1,-1.930366039E0,1.953661194E0
1.043460377E0,-1.019071937E-1,-3.592491150E-3,-1.845023155E0,1.847838853E0
1.048141159E0,4.891347885E-2,1.400599480E-1,-1.729381084E0,1.735732771E0
1.052821940E0,1.222056150E-1,2.027447224E-1,-1.516885281E0,1.535246101E0
1.057502721E0,9.384858608E-2,2.730531693E-1,-1.284265995E0,1.316322429E0
1.062183502E0,7.611244917E-2,2.750024796E-1,-1.119854927E0,1.155635983E0
1.066864284E0,7.903170586E-2,2.590084076E-1,-1.121012688E0,1.153256611E0
1.071545117E0,1.746817827E-1,2.394874096E-1,-1.160718918E0,1.197971765E0
1.076225898E0,2.560971081E-1,2.042720318E-1,-1.157670021E0,1.203126207E0
1.080906680E0,3.668277860E-1,1.673297882E-1,-1.176196098E0,1.243382139E0
1.085587461E0,4.240049124E-1,1.284377575E-1,-1.173201561E0,1.254064722E0
1.090268242E0,4.596796036E-1,4.415631294E-2,-1.096111298E0,1.189417965E0
1.094949023E0,4.911765754E-1,-2.611422539E-2,-1.073743820E0,1.181042833E0
1.099629805E0,4.976013303E-1,-1.354398727E-1,-1.029373169E0,1.151329737E0
1.104310586E0,4.938434660E-1,-2.003891468E-1,-9.796981812E-1,1.115278308E0
1.108991367E0,4.610988498E-1,-2.237231731E-1,-9.151182175E-1,1.048859170E0
1.113672148E0,4.137039185E-1,-2.319200039E-1,-8.118247986E-1,9.402113188E-1
1.118352930E0,3.636583686E-1,-1.752109528E-1,-7.508897781E-1,8.525149535E-1
1.123033711E0,3.968749046E-1,-9.923553467E-2,-7.368240356E-1,8.427734220E-1
1.127714492E0,4.725394249E-1,-3.741502762E-2,-7.646312714E-1,8.996412471E-1
1.132395325E0,4.989526272E-1,3.519058228E-3,-6.174507141E-1,7.938586098E-1
1.137076107E0,4.632293582E-1,8.164548874E-2,-4.774551392E-1,6.702319256E-1
1.141756888E0,3.791165054E-1,1.430397034E-1,-3.736400604E-1,5.511774452E-1
1.146437669E0,2.587429583E-1,2.888915539E-1,-4.396886826E-1,5.862869485E-1
1.151118450E0,2.384260297E-1,4.287433624E-1,-5.940179825E-1,7.704058709E-1
1.155799232E0,2.294532061E-1,4.912021160E-1,-6.861658096E-1,8.745008924E-1
1.160480013E0,2.215568423E-1,5.167257786E-1,-6.686267853E-1,8.735872839E-1
1.165160794E0,2.208644152E-1,4.886195660E-1,-5.942983627E-1,8.004503196E-1
1.169841575E0,1.881829500E-1,3.665709496E-1,-5.254745483E-1,6.677653665E-1
1.174522357E0,1.487290859E-1,1.613163948E-1,-5.150270462E-1,5.598179870E-1
1.179203138E0,1.009479165E-1,-1.591467857E-2,-3.751573563E-1,3.888274692E-1
1.183883971E0,-1.144057512E-2,-1.427109241E-1,-2.095003128E-1,2.537472674E-1
1.188564752E0,-1.211512089E-2,-2.115359306E-1,-1.328659058E-1,2.500951319E-1
1.193245534E0,-3.090621233E-1,-1.424074173E-3,-4.185638428E-1,5.203048285E-1
1.197926315E0,-5.823091269E-1,1.714658737E-1,-7.025032043E-1,9.284369753E-1
1.202607096E0,-6.539677382E-1,2.925138474E-1,-8.389148712E-1,1.103184624E0
1.207287877E0,-5.129271746E-1,3.754880428E-1,-6.612205505E-1,9.172230771E-1
1.211968659E0,-3.464888334E-1,4.627737999E-1,-3.587150574E-1,6.803606352E-1
1.216649440E0,-2.292569876E-1,4.701988697E-1,-2.460956573E-2,5.236901509E-1
1.221330221E0,-1.327877045E-1,4.453890324E-1,3.816080093E-1,6.013556663E-1
1.226011002E0,-4.502248764E-2,4.428877831E-1,7.382745743E-1,8.621055387E-1
1.230691784E0,1.055684090E-1,3.977868557E-1,1.026694298E0,1.106110416E0
1.235372565E0,2.350775003E-1,3.692066669E-1,1.247344017E0,1.321908503E0
1.240053398E0,4.003211260E-1,3.516891003E-1,1.443553925E0,1.538762542E0
1.244734180E0,5.862276554E-1,3.279771805E-1,1.675114632E0,1.804782791E0
1.249414961E0,7.690148950E-1,3.405478001E-1,1.641701698E0,1.844597837E0
1.254095742E0,9.231398106E-1,3.148374557E-1,1.513819695E0,1.800821979E0
1.258776523E0,1.025422215E0,2.510709763E-1,1.415802002E0,1.766075498E0
1.263457305E0,1.043024421E0,1.516187191E-1,1.364305496E0,1.724012084E0
1.268138086E0,1.009267449E0,5.527186394E-2,1.392286301E0,1.720504841E0
1.272818867E0,9.219155312E-1,-3.461980820E-2,1.356049538E0,1.640121071E0
1.277499648E0,8.530217409E-1,3.916025162E-3,1.255726814E0,1.518061678E0
1.282180430E0,7.265299559E-1,1.182055473E-1,1.170175552E0,1.382435948E0
1.286861211E0,6.670808792E-1,2.629313469E-1,1.070695877E0,1.288611444E0
1.291542044E0,6.413869858E-1,4.002213478E-1,1.045455933E0,1.290167625E0
1.296222825E0,5.824270844E-1,5.118350983E-1,1.072434425E0,1.323371480E0
1.300903607E0,5.827304721E-1,6.079556942E-1,1.182183266E0,1.451462091E0
1.305584388E0,5.889551640E-1,7.157039642E-1,1.207153320E0,1.521945954E0
1.310265169E0,5.551513433E-1,8.905184269E-1,1.230823517E0,1.617449416E0
1.314945950E0,5.497221947E-1,1.082401752E0,1.222019196E0,1.722532716E0
1.319626732E0,4.866443872E-1,1.305278063E0,1.066546440E0,1.754450025E0
1.324307513E0,2.694205046E-1,1.513413191E0,7.961854935E-1,1.731160950E0
1.328988294E0,-2.012610435E-3,1.663736582E0,5.689888000E-1,1.758343459E0
1.333669075E0,-1.662395000E-1,1.656493187E0,4.469175339E-1,1.723757678E0
1.338349857E0,-5.437773466E-1,1.771503925E0,3.176536560E-1,1.880112711E0
1.343030638E0,-8.495692015E-1,1.777511835E0,3.218402863E-1,1.996220760E0
1.347711471E0,-8.999761343E-1,1.696310759E0,5.258579254E-1,1.990968053E0
1.352392252E0,-8.631472588E-1,1.478346348E0,8.407335281E-1,1.907187453E0
1.357073034E0,-8.781728745E-1,1.259946108E0,1.230350494E0,1.967845048E0
1.361753815E0,-8.669078350E-1,9.836590290E-1,1.637281418E0,2.097571148E0
