"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.846157420E-1,-6.064411998E-2,2.015547752E-1,-7.809057236E-1,8.087742490E-1
7.892962630E-1,-1.548399031E-1,1.533422470E-1,-8.578319550E-1,8.850790379E-1
7.939768360E-1,-1.892426908E-1,1.478631496E-1,-8.755359650E-1,9.078763864E-1
7.986574090E-1,-2.524636984E-1,1.636443138E-1,-8.629827499E-1,9.139237425E-1
8.033379290E-1,-3.204735816E-1,2.190639973E-1,-8.154296875E-1,9.031156773E-1
8.080185020E-1,-3.959909081E-1,3.064916134E-1,-7.139778137E-1,8.720723748E-1
8.126990750E-1,-4.458816946E-1,3.658704758E-1,-5.754776001E-1,8.147675489E-1
8.173795960E-1,-4.942753613E-1,4.613642693E-1,-4.357557297E-1,8.043930492E-1
8.220601690E-1,-5.316351056E-1,5.326583385E-1,-3.088979721E-1,8.134978478E-1
8.267407420E-1,-5.890206695E-1,5.990452766E-1,-2.329273224E-1,8.718117515E-1
8.314212630E-1,-6.468782425E-1,6.721391678E-1,-1.907815933E-1,9.521660243E-1
8.361018360E-1,-6.076005101E-1,7.351236343E-1,-1.179800034E-1,9.609913729E-1
8.407823560E-1,-6.192438006E-1,8.853178024E-1,-4.790401459E-2,1.081455173E0
8.454629290E-1,-5.862167478E-1,8.913400173E-1,-2.095413208E-2,1.067040851E0
8.501435020E-1,-4.444833100E-1,8.301258087E-1,2.023887634E-2,9.418513063E-1
8.548240230E-1,-4.224359691E-1,8.228335381E-1,-1.700878143E-2,9.250926862E-1
8.595045960E-1,-4.664471149E-1,8.574335575E-1,-9.659004211E-2,9.808643397E-1
8.641851690E-1,-2.477874458E-1,7.765395641E-1,-7.783222198E-2,8.188224275E-1
8.688656900E-1,-1.674940288E-1,8.234858513E-1,-8.023834229E-2,8.441690521E-1
8.735462630E-1,-9.412902594E-2,8.500027657E-1,-3.704166412E-2,8.560006192E-1
8.782267840E-1,-4.437562823E-2,8.679437637E-1,1.825332642E-2,8.692690937E-1
8.829073560E-1,-7.970644534E-2,8.820655346E-1,1.183032990E-2,8.857384950E-1
8.875879290E-1,-1.303213984E-1,8.664538860E-1,-4.651260376E-2,8.774334310E-1
8.922684500E-1,-1.983100176E-1,8.855621815E-1,-7.557582855E-2,9.106365610E-1
8.969490230E-1,-2.100643516E-1,8.441896439E-1,-4.699707031E-2,8.712014183E-1
9.016295960E-1,-1.974178553E-1,7.618808746E-1,2.698326111E-2,7.875051575E-1
9.063101170E-1,-1.512946934E-1,6.865086555E-1,1.199522018E-1,7.131428672E-1
9.109906900E-1,-1.146555096E-1,6.682946682E-1,1.365518570E-1,6.916719302E-1
9.156712630E-1,-1.133401543E-1,6.810572147E-1,7.473850250E-2,6.944571722E-1
9.203517840E-1,-1.439065933E-1,7.007269859E-1,1.589298248E-2,7.155277795E-1
9.250323560E-1,-1.437796205E-1,7.107980251E-1,-1.624488831E-2,7.253759771E-1
9.297129290E-1,-1.150483191E-1,6.974442005E-1,-4.959106445E-4,7.068697012E-1
9.343934500E-1,-1.096807122E-1,6.893579960E-1,-5.377769470E-2,7.000973830E-1
9.390740230E-1,-9.351827204E-2,6.509382725E-1,-8.771991730E-2,6.634463699E-1
9.437545440E-1,-5.661270022E-2,6.182091236E-1,-8.582973480E-2,6.267010944E-1
9.484351170E-1,3.418654203E-3,5.224952698E-1,-5.079746246E-2,5.249698814E-1
9.531156900E-1,2.472597361E-2,4.495525360E-1,-3.512668610E-2,4.516001998E-1
9.577962110E-1,2.682995796E-2,4.064188004E-1,-6.970977783E-2,4.132257749E-1
9.624767840E-1,5.466890335E-2,3.313393593E-1,-1.151943207E-2,3.360166027E-1
9.671573560E-1,8.910483122E-2,2.766673565E-1,-4.432296753E-2,2.940221464E-1
9.718378770E-1,8.253782988E-2,2.325634956E-1,-5.334854126E-2,2.524764142E-1
9.765184500E-1,1.112476587E-1,1.610140800E-1,-9.114265442E-2,2.158901549E-1
9.811990230E-1,1.086399555E-1,1.308379173E-1,-1.194000244E-1,2.077921230E-1
9.858795440E-1,7.948845625E-2,6.118822098E-2,-1.239671707E-1,1.594687194E-1
9.905601170E-1,5.752527714E-2,-5.903244019E-4,-1.382055283E-1,1.497006147E-1
9.952406380E-1,3.562855721E-2,-6.905841827E-2,-1.143989563E-1,1.382952654E-1
9.999212110E-1,1.741945744E-3,-9.682893753E-2,-1.002902985E-1,1.394167188E-1
1.004601784E0,-3.000521660E-2,-1.078453064E-1,-8.393955231E-2,1.399170168E-1
