t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
2060;0.07298109;5.131408;8.200203;0.39293876;-0.38453937;-0.13110685;12.76875;-26.8875;-29.79375
2069;0.23569304;5.0309095;8.566305;0.21456626;-0.43890634;-0.21815509;12.637501;-27.187502;-29.437502
2079;0.4953143;4.802395;8.977871;-0.016340632;-0.5051852;-0.30459246;12.468751;-27.225;-29.38125
2088;0.72502524;4.6205406;9.449257;-0.28084508;-0.53297955;-0.38064513;12.50625;-26.962502;-29.475
2097;0.8566305;4.4458647;9.836894;-0.5404626;-0.4715876;-0.4481457;12.375001;-26.868752;-29.268751
2107;0.9176475;4.2592244;10.309476;-0.7814488;-0.35033095;-0.5049561;12.468751;-26.75625;-29.343752
2116;0.7752745;4.0187454;10.725827;-0.9805907;-0.1802051;-0.5504655;12.525001;-26.79375;-29.362501
2125;0.44147578;3.6693935;11.053644;-1.1107049;0.005497783;-0.5803979;12.20625;-27.0375;-29.456251
2135;0.010767702;3.3379877;11.453245;-1.1736239;0.13255766;-0.5773436;12.20625;-27.225;-29.175001
2144;-0.4031906;3.0436704;11.832508;-1.1656827;0.18509203;-0.5248092;12.243751;-27.13125;-29.025002
2154;-0.7692925;2.806781;12.031113;-1.0868812;0.17470732;-0.428598;12.50625;-27.300001;-28.725
2163;-1.0013963;2.6213372;12.129218;-0.9411899;0.116980605;-0.3003164;12.69375;-27.112501;-28.85625
2172;-1.0959128;2.4179473;12.1866455;-0.73899364;0.02687805;-0.16195552;13.218751;-26.8875;-28.781252
2182;-1.0600204;2.2492533;12.165111;-0.4970912;-0.05497783;-0.032452192;13.387501;-26.812502;-28.781252
2191;-0.9487542;2.1355941;12.045469;-0.22983788;-0.10537417;0.07841977;13.406251;-26.775002;-28.575
2200;-0.76570326;2.0793629;11.883954;0.05329795;-0.11942407;0.17096578;13.875001;-26.493752;-28.593752
2210;-0.4941179;2.0578275;11.540584;0.32482734;-0.11453715;0.24885105;13.781251;-26.325;-29.04375
2219;-0.2440679;2.0925233;11.150554;0.5731439;-0.12278382;0.3154353;13.89375;-26.306252;-29.306252
2228;-0.0741775;2.193022;10.833505;0.77747816;-0.18142684;0.37071857;14.043751;-26.1;-29.625002
2238;0.09810573;2.3581266;10.628919;0.92255855;-0.30390522;0.41195193;14.175;-26.250002;-29.550001
2247;0.36370903;2.4538395;10.420743;1.0120503;-0.45875946;0.43394306;14.231251;-26.250002;-29.75625
