t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1114;-0.06460621;3.4480574;9.57488;-0.211741;-0.018173227;-0.2008218;15.543751;-24.150002;-30.656252
1124;-0.12921242;3.4624143;9.567701;-0.17722714;0.051159926;-0.1791361;15.58125;-24.16875;-30.675001
1133;-0.18903299;3.4743786;9.546165;-0.1390481;0.105526894;-0.15622866;15.375001;-24.50625;-30.45
1142;-0.22372891;3.501896;9.474381;-0.1042288;0.14676027;-0.13209951;15.281251;-24.69375;-30.618752
1152;-0.27876383;3.566502;9.397811;-0.074907295;0.17241658;-0.10980295;15.6;-24.54375;-30.562502
1161;-0.33260235;3.6275191;9.297313;-0.049556404;0.19562945;-0.08964441;15.76875;-24.4125;-30.656252
1170;-0.38644084;3.702893;9.19801;-0.028787002;0.21731515;-0.07192933;15.843751;-24.281252;-30.6375
1180;-0.4546363;3.7878382;9.097511;-0.010461059;0.23503022;-0.056963142;16.21875;-24.018751;-30.618752
1189;-0.4977071;3.8811584;8.993423;0.00481056;0.25488332;-0.043218683;16.331251;-24.056252;-30.4125
1198;-0.5491528;3.9553359;8.861818;0.019471316;0.27748534;-0.029168794;16.725;-23.98125;-30.000002
1208;-0.55752766;4.040281;8.7469635;0.030772313;0.30802858;-0.012064579;17.15625;-23.625;-30.112501
1217;-0.56829536;4.0977087;8.608179;0.043600474;0.35598144;0.0065667965;17.681252;-23.25;-29.79375
1227;-0.58983076;4.1228333;8.493324;0.057955798;0.41890052;0.027030766;17.8875;-23.19375;-29.6625
1236;-0.6652047;4.150351;8.46461;0.07750347;0.48792824;0.0490219;18.056252;-23.1375;-29.437502
1245;-0.72263247;4.188636;8.428718;0.09491312;0.54351693;0.06704241;18.206251;-23.175001;-29.306252
1255;-0.76689965;4.2006;8.410771;0.109268434;0.5780308;0.08353576;18.150002;-23.587502;-28.987501
1264;-0.7968099;4.2041893;8.389236;0.117820546;0.5933024;0.09880738;18.2625;-23.75625;-28.893751
1273;-0.86261255;4.237689;8.392825;0.118125975;0.59269154;0.115911596;18.28125;-23.737501;-28.875002
1283;-0.8781659;4.2041893;8.467003;0.11140647;0.5862775;0.12935062;18.300001;-24.31875;-28.5375
1292;-0.88295156;4.1838503;8.575876;0.10468695;0.5697841;0.1385136;18.09375;-24.768751;-28.406252
1301;-0.8602197;4.1671004;8.626125;0.0994946;0.5337431;0.14981459;17.94375;-25.0125;-28.575
1311;-0.79800636;4.1108694;8.715857;0.101327196;0.4949532;0.16081016;17.775002;-25.3875;-28.800001
1320;-0.7716853;4.068995;8.810373;0.108963005;0.47174034;0.17119485;17.94375;-25.425001;-28.781252
1330;-0.85184485;4.121637;8.925228;0.12362376;0.46074477;0.17944153;17.8875;-25.5375;-28.9125
1339;-0.97866446;4.316652;8.952746;0.1437823;0.4696023;0.18463388;18.35625;-25.237501;-28.837502
1348;-0.94755775;4.398008;8.891729;0.17340924;0.51266825;0.1904371;18.225;-25.35;-28.987501
1358;-0.7645068;4.2006;8.955139;0.2070068;0.5911644;0.19868377;18.28125;-24.975;-29.175001
1367;-0.57427746;3.879962;9.164511;0.22930336;0.636063;0.20784675;18.5625;-24.6375;-29.250002
1376;-0.5024927;3.731607;9.366704;0.2173915;0.58413947;0.2035707;18.65625;-24.393751;-29.2875
1386;-0.39960137;3.6430724;9.633504;0.17615813;0.47174034;0.18249585;18.862501;-23.90625;-29.175001
1395;-0.30029923;3.4037902;9.998409;0.12331833;0.35109454;0.14859286;18.65625;-23.737501;-29.212502
1404;-0.30867413;3.117848;10.360922;0.06467531;0.23441936;0.10583232;18.768751;-23.475;-29.437502
1414;-0.3696911;2.784049;10.706685;-0.0040469794;0.12782346;0.05665771;18.206251;-23.493752;-29.8875
1423;-0.43908295;2.5052853;11.103893;-0.07460186;0.06307179;0.007177661;18.1875;-23.38125;-30.093752
1433;-0.5240282;2.2408783;11.527423;-0.14088069;0.032833982;-0.03008509;17.8875;-23.5125;-30.243752
1442;-0.5886344;1.9118652;11.97847;-0.20196716;0.011759147;-0.038026333;17.6625;-23.71875;-30.393751
1451;-0.6831509;1.5936198;12.461821;-0.2615265;-0.014813471;-0.03008509;17.737501;-23.8875;-30.375002
1461;-0.7585248;1.3316058;12.973885;-0.3287216;-0.054825112;-0.015424335;17.56875;-24.150002;-30.337502
1470;-0.7645068;1.2011969;13.408182;-0.40446883;-0.09697478;-0.0050396346;17.625;-24.468752;-30.187502
